date,gold_price,R_GOLD,sp500,R_SP500,VIX,D_GULF,D_911,D_UKR,EPISODE_ACTIVE,GPR,GPRA,GPRT,dln_GPR,dln_GPRA,dln_GPRT,D_GULF,D_911,D_UKR,WAR_HIGH,CONTROL,R_GOLD_LEAD
1992-05-01,337.24,-0.4083691645610861,415.3500061035156,0.096349251741979,15.077000000000002,0,0,0,0,78.96814727783203,56.43539047241211,93.08229064941406,-0.0836224916551353,-0.2763763273293023,0.0047500106666307,0,0,0,0,1,1.053029419320108
1992-07-01,352.72,3.434940380200619,424.2099914550781,3.8618306803876776,13.601818181818182,0,0,0,0,75.19676971435547,51.642940521240234,92.42886352539062,-0.2215797986938934,0.0377448367070769,-0.2965493655004856,0,0,0,0,1,-2.776918206800325
1992-09-01,345.43,0.6884658778490954,417.7999877929687,0.9064387885347568,13.696666666666667,0,0,0,0,74.6097183227539,45.73872375488281,92.68926239013672,-0.0901121978819103,-0.4278262634028502,0.0569649859392011,0,0,0,0,1,-0.3044318902130121
1992-10-01,344.38,-0.3044318902130121,418.6799926757813,0.2104067588025681,17.63681818181818,0,0,0,0,68.18277740478516,58.99306106567383,71.33625793457031,-0.090078768911435,0.2544745418944636,-0.2618479094451116,0,0,0,0,1,-2.7555467322499223
1993-12-01,383.3,2.501682376362357,466.4500122070313,1.0040598783038786,11.356363636363636,0,0,0,0,79.55179595947266,50.134674072265625,97.06568145751952,-0.0482008934173885,-0.0240677006937777,-0.0798189195895471,0,0,0,0,1,0.929659503991841
1995-02-01,376.64,-0.5058340477403805,487.3900146484375,3.5438712774815286,11.47,0,0,0,0,76.87532806396484,77.14599609375,72.59407043457031,-0.0417732536013852,0.0904124355342759,-0.1565807126449501,0,0,0,0,1,1.4444871329895772
1995-09-01,383.06,-0.1591173238823301,584.4099731445312,3.931443269158869,12.057,0,0,0,0,71.20516967773438,68.81755065917969,72.98401641845703,-0.4066537290988297,-0.3813566377094872,-0.4846500266263156,0,0,0,0,1,0.020882276243982
1995-10-01,383.14,0.020882276243982,581.5,-0.4991773385712522,14.357272727272727,0,0,0,0,67.74150085449219,69.12648010253906,64.2778091430664,-0.0498664203671674,0.004479062386852,-0.1270260067406994,0,0,0,0,1,0.5647747460594816
1995-11-01,385.31,0.5647747460594816,605.3699951171875,4.022886132135168,12.46904761904762,0,0,0,0,76.33349609375,69.86588287353516,78.8126220703125,0.1194128438681003,0.0106395737178104,0.2038587053317586,0,0,0,0,1,0.5512792997423769
1995-12-01,387.44,0.5512792997423769,615.9299926757812,1.7293475541394994,11.7485,0,0,0,0,65.67205810546875,55.363800048828125,68.98201751708984,-0.150438307287823,-0.232651493848575,-0.1332273076571457,0,0,0,0,1,3.05276028330773
1996-01-01,399.45,3.05276028330773,636.02001953125,3.20967312736511,13.473636363636365,0,0,0,0,75.63492584228516,79.68246459960938,73.66007995605469,0.1412446187168816,0.3641235925638462,0.065615141554133,0,0,0,0,1,1.320569793350834
1996-05-01,391.93,-0.2344607205715387,669.1199951171875,2.259617855050066,16.14636363636364,0,0,0,0,65.53082275390625,68.71073913574219,59.1929931640625,-0.2581123882422806,-0.361635850717044,-0.1851385827614855,0,0,0,0,1,-1.713886522205612
1996-06-01,385.27,-1.713886522205612,670.6300048828125,0.2254167426791978,16.395,0,0,0,0,69.08858489990234,61.67017364501953,72.52593231201172,0.0528689119591332,-0.1081051015968537,0.2031410087982381,0,0,0,0,1,-0.4682996304516208
1996-10-01,381.07,-0.5417372351877848,705.27001953125,2.5766184810720274,16.38173913043478,0,0,0,0,55.58683013916016,49.54435729980469,56.879756927490234,-0.461626368201844,-0.6279984834015848,-0.4255234691593061,0,0,0,0,1,-0.8485793818348233
1996-11-01,377.85,-0.8485793818348233,757.02001953125,7.080896305654677,15.997,0,0,0,0,57.34461212158203,51.038421630859375,58.0576171875,0.0311325866505862,0.0297103390209261,0.0204964051766989,0,0,0,0,1,-2.3700647426201793
1996-12-01,369.0,-2.3700647426201793,740.739990234375,-2.1740025620189605,19.260952380952386,0,0,0,0,74.98263549804688,66.17648315429688,80.17862701416016,0.2681776681884082,0.259746446071345,0.3228210660374166,0,0,0,0,1,-3.8369043406615218
1997-01-01,355.11,-3.8369043406615218,786.1599731445312,5.9510626546169565,19.473333333333333,0,0,0,0,54.06243515014648,55.227325439453125,53.25782775878906,-0.3271169748806435,-0.1808673035943275,-0.4091121893221645,0,0,0,0,1,-2.4313928421812663
1997-02-01,346.58,-2.4313928421812663,790.8200073242188,0.5910091189056065,20.139473684210525,0,0,0,0,50.559940338134766,43.509159088134766,54.501365661621094,-0.0669800153396789,-0.2384863871935785,0.0230809654155259,0,0,0,0,1,1.4977584928983556
1997-03-01,351.81,1.4977584928983556,757.1199951171875,-4.354863618214284,20.17,0,0,0,0,58.48006057739258,59.907318115234375,56.36629867553711,0.1455262814892761,0.3198272001850402,0.0336456793245827,0,0,0,0,1,-2.1084253207882653
1997-04-01,344.47,-2.1084253207882653,801.3400268554688,5.676360503236183,19.662272727272725,0,0,0,0,62.844486236572266,61.28048324584961,62.37605667114258,0.0719773509489156,0.0226627414003619,0.1013100558564819,0,0,0,0,1,-0.183057103899996
1997-05-01,343.84,-0.183057103899996,848.280029296875,5.692544457452351,19.924761904761905,0,0,0,0,53.57601547241211,49.572898864746094,53.54428482055664,-0.1595617068536055,-0.2120171207194983,-0.1526724293896091,0,0,0,0,1,-0.8998015719560604
1997-06-01,340.76,-0.8998015719560604,885.1400146484375,4.253503662890388,20.194285714285712,0,0,0,0,39.045623779296875,38.63948059082031,36.68563461303711,-0.3163706925071916,-0.2491697235600227,-0.3781238141629761,0,0,0,0,1,-5.012630702713791
1997-07-01,324.1,-5.012630702713791,954.3099975585938,7.524272255849243,20.529090909090908,0,0,0,0,47.69842529296875,43.43375015258789,47.428409576416016,0.2001675817291097,0.1169622251887334,0.2568361563147796,0,0,0,0,1,-0.0277730633931111
1997-08-01,324.01,-0.0277730633931111,899.469970703125,-5.918289529406516,23.084761904761905,0,0,0,0,48.582298278808594,49.42500305175781,46.30862808227539,0.0183608469878504,0.1292196386257575,-0.0238931119100191,0,0,0,0,1,-0.3679487168437128
1997-09-01,322.82,-0.3679487168437128,947.280029296875,5.178908254907495,23.812380952380952,0,0,0,0,42.6890869140625,41.08793258666992,41.63934326171875,-0.1293159198247488,-0.1847419634418026,-0.106282823590206,0,0,0,0,1,0.6330209963264208
1997-10-01,324.87,0.6330209963264208,914.6199951171876,-3.508607782077327,23.87086956521739,0,0,0,0,49.746307373046875,34.460205078125,58.68946075439453,0.1529929254060977,-0.1759092850846144,0.3432146946862251,0,0,0,0,1,-5.970928994474653
1997-11-01,306.04,-5.970928994474653,955.4000244140624,4.362145338032799,32.20611111111111,0,0,0,0,59.6933708190918,32.765533447265625,79.03630828857422,0.1822847354841941,-0.0504280289073868,0.297647178977579,0,0,0,0,1,-5.818918316198264
1997-12-01,288.74,-5.818918316198264,970.4299926757812,1.5609138181524678,26.276363636363637,0,0,0,0,43.998268127441406,35.839134216308594,48.36233139038086,-0.3050707002730961,0.0896632775358132,-0.491186111823966,0,0,0,0,1,0.1246019820631865
1998-01-01,289.1,0.1246019820631865,980.280029296875,1.0099010336863457,23.8665,0,0,0,0,53.0963020324707,42.487815856933594,59.82126998901367,0.1879570118461111,0.1701769182050405,0.212640049501009,0,0,0,0,1,2.8607961953061425
1998-02-01,297.49,2.8607961953061425,1049.3399658203125,6.807836648858761,19.998947368421053,0,0,0,0,77.59761810302734,45.368019104003906,101.84082794189452,0.3794294479197195,0.0655900826925242,0.5320498008956474,0,0,0,0,1,-0.5223879900973688
1998-03-01,295.94,-0.5223879900973688,1101.75,4.8738462205499475,20.158636363636365,0,0,0,0,57.24806213378906,44.5167121887207,65.50199890136719,-0.3041429394994743,-0.0189427583296257,-0.4413304242924969,0,0,0,0,1,4.088416735263962
1998-04-01,308.29,4.088416735263962,1111.75,0.9035525668709444,22.02857142857143,0,0,0,0,50.99658203125,38.00284957885742,58.76738357543945,-0.1156351811866405,-0.1582035276396953,-0.1084936598506365,0,0,0,0,1,-3.0262932791125503
1998-06-01,292.32,-2.2928873006205817,1133.8399658203125,3.868041398243032,21.66272727272727,0,0,0,0,76.30907440185547,48.77885437011719,94.95468139648438,-0.2135273815477898,0.1076001402492345,-0.3125865062952,0,0,0,0,1,0.187973192278463
1998-07-01,292.87,0.187973192278463,1120.6700439453125,-1.168331178413525,19.930000000000003,0,0,0,0,54.04841613769531,38.29932403564453,64.22628021240234,-0.344911621774957,-0.2418646600335585,-0.3909872638117351,0,0,0,0,1,-3.036733743816851
1998-09-01,288.98,1.699599445115281,1017.010009765625,6.052627819818775,38.2047619047619,0,0,0,0,62.51344299316406,55.129615783691406,68.4769515991211,-0.4395443726917634,-0.8092932133933495,-0.2035878019000261,0,0,0,0,1,2.3765458304770113
1998-10-01,295.93,2.3765458304770113,1098.6700439453125,7.72334378916789,36.60818181818182,0,0,0,0,54.40364837646485,48.27804183959961,57.89592742919922,-0.1389504041479674,-0.1327102263098374,-0.1678501715481664,0,0,0,0,1,-0.6135092542213849
1998-11-01,294.12,-0.6135092542213849,1163.6300048828125,5.744403620469628,26.223000000000003,0,0,0,0,67.96592712402344,38.602264404296875,88.07134246826172,0.2225752905352611,-0.2236658989153306,0.4195001518023389,0,0,0,0,1,-0.8330536397668564
1998-12-01,291.68,-0.8330536397668564,1229.22998046875,5.484350764671906,25.479090909090907,0,0,0,0,75.95989227294922,64.999755859375,86.2803955078125,0.1111989598432687,0.5210725758050545,-0.0205447903832389,0,0,0,0,1,-1.5896388368481846
1999-01-01,287.08,-1.5896388368481846,1279.6400146484375,4.0190858615482234,28.035263157894736,0,0,0,0,63.98722457885742,53.77272033691406,69.46121215820312,-0.1715220202570568,-0.1896172322427518,-0.216833907181118,0,0,0,0,1,0.0870458438346795
1999-02-01,287.33,0.0870458438346795,1238.3299560546875,-3.281513760025149,28.82263157894737,0,0,0,0,58.316383361816406,44.1739501953125,67.28399658203125,-0.0928003753872035,-0.1966310283916743,-0.0318460822023176,0,0,0,0,1,-0.4779440101566837
1999-06-01,261.31,-5.628635724138782,1372.7099609375,5.300823759008801,23.626363636363635,0,0,0,0,79.4105453491211,83.76152038574219,75.96134948730469,-0.0731964470147392,0.0375893909757953,-0.1626450313095073,0,0,0,0,1,-2.021754632019828
1999-07-01,256.08,-2.021754632019828,1328.719970703125,-3.25708089457425,21.04904761904762,0,0,0,0,62.14287185668945,54.25792694091797,66.83728790283203,-0.2451950535877971,-0.4342246176169175,-0.1279635246046373,0,0,0,0,1,0.2379235476940403
1999-08-01,256.69,0.2379235476940403,1320.4100341796875,-0.6273730443188987,24.323636363636364,0,0,0,0,62.858642578125,57.959991455078125,65.2621078491211,0.0114523179621555,0.0660038695516909,-0.0238495370493652,0,0,0,0,1,3.087908114707682
1999-09-01,264.74,3.087908114707682,1282.7099609375,-2.8967323421100266,24.541428571428572,0,0,0,0,69.58151245117188,62.21402740478515,75.54266357421875,0.1016104695842541,0.0708275252717971,0.1462859872157906,0,0,0,0,1,16.014397281733533
1999-10-01,310.72,16.014397281733533,1362.9300537109375,6.066183660855315,24.021428571428572,0,0,0,0,72.35348510742188,60.16195297241211,79.38410949707031,0.0390647156727794,-0.0335403532094051,0.0496006388348728,0,0,0,0,1,-5.81054302410751
1999-11-01,293.18,-5.81054302410751,1388.9100341796875,1.8882457961593264,21.81809523809524,0,0,0,0,57.9638671875,52.49796676635742,60.38698196411133,-0.2217437851386634,-0.1362657014991879,-0.2735246646299938,0,0,0,0,1,-3.5092537981249934
2000-01-01,284.32,0.4406147525706168,1394.4599609375,-5.224485096542008,23.202,0,0,0,0,64.45780944824219,64.25041198730469,65.57360076904297,-0.2893235678903743,-0.2970063229668742,-0.3760664158255498,0,0,0,0,1,5.321533466041589
2000-02-01,299.86,5.321533466041589,1366.4200439453125,-2.0313002436901426,23.5955,0,0,0,0,63.54172134399414,68.08216857910156,57.65135955810547,-0.014314173503453,0.0579272011438281,-0.1287593582482733,0,0,0,0,1,-4.596118079096868
2000-03-01,286.39,-4.596118079096868,1498.5799560546875,9.232375063667664,22.718260869565217,0,0,0,0,50.10198593139648,40.81640625,55.03073501586914,-0.2376360725344088,-0.5116312225978201,-0.0465219817830773,0,0,0,0,1,-2.3672671299076433
2000-04-01,279.69,-2.3672671299076433,1452.4300537109375,-3.127991095339023,27.164210526315788,0,0,0,0,48.6827392578125,40.91702651977539,53.30490493774414,-0.0287361094154383,0.0024621581939592,-0.0318634955857835,0,0,0,0,1,-1.622007878703804
2000-05-01,275.19,-1.622007878703804,1420.5999755859375,-2.2158752395755528,26.37318181818182,0,0,0,0,79.48287963867188,83.22781372070312,77.26969909667969,0.4902171107730955,0.7100353187407,0.371273535721361,0,0,0,0,1,3.758554078465064
2000-06-01,285.73,3.758554078465064,1454.5999755859375,2.3651631558432373,21.54,0,0,0,0,64.71781921386719,53.17440032958984,73.57466888427734,-0.2055050715361916,-0.4480045077661696,-0.0490010940316798,0,0,0,0,1,-1.459519668461705
2000-07-01,281.59,-1.459519668461705,1430.8299560546875,-1.6476267193485266,19.893,0,0,0,0,51.904022216796875,41.059078216552734,57.31697463989258,-0.220640289946727,-0.2585651220541765,-0.2497039723420826,0,0,0,0,1,-2.561014693015382
2000-08-01,274.47,-2.561014693015382,1517.6800537109375,5.892822369153254,18.08869565217391,0,0,0,0,46.49225616455078,41.58592224121094,49.192291259765625,-0.1101105218998843,0.0127497406623628,-0.1528598918734172,0,0,0,0,1,-0.2882424690204409
2000-09-01,273.68,-0.2882424690204409,1436.510009765625,-5.496632087674741,19.6875,0,0,0,0,52.689998626708984,35.192142486572266,64.44499206542969,0.125139893528309,-0.166938869458828,0.2700750942248344,0,0,0,0,1,-1.3537581670974528
2000-10-01,270.0,-1.3537581670974528,1429.4000244140625,-0.4961774691885913,25.2,0,0,0,0,76.45652770996094,77.61014556884766,82.38760375976562,0.3722966559217457,0.7908753276373974,0.2456229620543988,0,0,0,0,1,-1.488805693834942
2000-11-01,266.01,-1.488805693834942,1314.949951171875,-8.345618792359105,26.38285714285714,0,0,0,0,45.06056213378906,47.206809997558594,44.357688903808594,-0.5287149039247163,-0.4971599987162935,-0.6191489233163137,0,0,0,0,1,2.024405829143484
